2018-06-06 17:51:13.670 GMT+08:00 Wed |    Debug | T0000005396 | ..\src\aspera_manager.cpp:AsperaManager::do_upload:01301 | [manager] do upload thread - 1 end
2018-06-06 17:51:13.670 GMT+08:00 Wed |    Debug | T0000007232 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01478 | [manager] do download thread - 1 end
2018-06-06 17:51:13.670 GMT+08:00 Wed |    Debug | T0000007212 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01478 | [manager] do download thread - 0 end
2018-06-06 17:51:13.670 GMT+08:00 Wed |    Debug | T0000007232 | ..\src\aspera_manager.cpp:download_thread_run:00213 | download thread - 1 run end
2018-06-06 17:51:13.670 GMT+08:00 Wed |    Debug | T0000005396 | ..\src\aspera_manager.cpp:upload_thread_run:00199 | upload thread - 1 run end
2018-06-06 17:51:13.670 GMT+08:00 Wed |    Debug | T0000010956 | ..\src\aspera_manager.cpp:AsperaManager::do_upload:01301 | [manager] do upload thread - 0 end
2018-06-06 17:51:13.670 GMT+08:00 Wed |    Debug | T0000010956 | ..\src\aspera_manager.cpp:upload_thread_run:00199 | upload thread - 0 run end
2018-06-06 17:51:13.670 GMT+08:00 Wed |    Debug | T0000007212 | ..\src\aspera_manager.cpp:download_thread_run:00213 | download thread - 0 run end
2018-06-06 17:51:14.585 GMT+08:00 Wed |    Debug | T0000007008 | ..\src\aspera_manager.cpp:AsperaManager::do_check:01130 | [manager] do check thread - 0 end
2018-06-06 17:51:14.585 GMT+08:00 Wed |    Debug | T0000007008 | ..\src\aspera_manager.cpp:check_thread_run:00185 | check thread - 0 run end
2018-06-06 17:51:17.587 GMT+08:00 Wed |    Debug | T0000010516 | ..\src\aspera_manager.cpp:AsperaManager::clear:00474 | [manager] wait threads exit begin
2018-06-06 17:51:17.587 GMT+08:00 Wed |    Debug | T0000010516 | ..\src\aspera_manager.cpp:AsperaManager::clear:00476 | [manager] wait threads exit end
2018-06-06 17:51:17.587 GMT+08:00 Wed |    Debug | T0000010516 | ..\src\aspera_manager.cpp:AsperaManager::clear:00478 | [manager] release aspera manager begin
2018-06-06 17:51:17.686 GMT+08:00 Wed |    Debug | T0000010516 | ..\src\aspera_manager.cpp:AsperaManager::clear:00487 | [manager] release aspera manager end
2018-06-06 17:51:17.686 GMT+08:00 Wed |    Debug | T0000010516 | ..\src\aspera_manager.cpp:AsperaManager::clear:00491 | [manager] clear end
2018-06-06 17:51:17.686 GMT+08:00 Wed |    Debug | T0000010516 | ..\src\aspera_manager.cpp:AsperaManager::exit:00424 | [manager] exit end
