2018-06-06 18:47:46.599 GMT+08:00 Wed |    Error | T0000012844 | ..\src\udx_manager.cpp:UdxManager::do_upload:01477 | [upload | thread - 1 | uploader - 10148256] upload been stopped: [task:0, job:1] (E:/Workspaces/3dmax/2014/test.txt), failure count (1)
2018-06-06 18:47:46.599 GMT+08:00 Wed |    Debug | T0000012844 | ..\src\udx_manager.cpp:UdxManager::do_upload:01498 | [upload | thread - 1 | uploader - 10148256] upload end: [task:0, job:1] (E:/Workspaces/3dmax/2014/test.txt)
2018-06-06 18:47:47.498 GMT+08:00 Wed |    Debug | T0000011836 | ..\src\udx_manager.cpp:UdxManager::exit:00485 | [manager] exit begin
2018-06-06 18:47:47.498 GMT+08:00 Wed |    Debug | T0000011836 | ..\src\udx_manager.cpp:UdxManager::clear:00493 | [manager] clear begin
2018-06-06 18:47:47.498 GMT+08:00 Wed |    Debug | T0000010708 | ..\src\udx_manager.cpp:UdxManager::do_upload:01506 | [manager] do upload thread - 0 end
2018-06-06 18:47:47.498 GMT+08:00 Wed |    Debug | T0000009260 | ..\src\udx_manager.cpp:UdxManager::do_download:01861 | [manager] do download thread - 1 end
2018-06-06 18:47:47.498 GMT+08:00 Wed |    Debug | T0000012844 | ..\src\udx_manager.cpp:UdxManager::do_upload:01506 | [manager] do upload thread - 1 end
2018-06-06 18:47:47.498 GMT+08:00 Wed |    Debug | T0000010708 | ..\src\udx_manager.cpp:upload_thread_run:00201 | upload thread - 0 run end
2018-06-06 18:47:47.498 GMT+08:00 Wed |    Debug | T0000009260 | ..\src\udx_manager.cpp:download_thread_run:00215 | download thread - 1 run end
2018-06-06 18:47:47.498 GMT+08:00 Wed |    Debug | T0000013104 | ..\src\udx_manager.cpp:UdxManager::do_download:01861 | [manager] do download thread - 0 end
2018-06-06 18:47:47.498 GMT+08:00 Wed |    Debug | T0000012844 | ..\src\udx_manager.cpp:upload_thread_run:00201 | upload thread - 1 run end
2018-06-06 18:47:47.498 GMT+08:00 Wed |    Debug | T0000013104 | ..\src\udx_manager.cpp:download_thread_run:00215 | download thread - 0 run end
2018-06-06 18:47:47.498 GMT+08:00 Wed |    Debug | T0000011836 | ..\src\udx_session.cpp:IUdxSession::send_disconnect_request:00293 | [uploader - 10148256] send disconnect request
2018-06-06 18:47:47.585 GMT+08:00 Wed |    Debug | T0000013068 | ..\src\udx_manager.cpp:UdxManager::do_resolve:01115 | [manager] do resolve thread - 0 end
2018-06-06 18:47:47.585 GMT+08:00 Wed |    Debug | T0000012792 | ..\src\udx_manager.cpp:UdxManager::do_check:01165 | [manager] do check thread - 0 end
2018-06-06 18:47:47.585 GMT+08:00 Wed |    Debug | T0000012792 | ..\src\udx_manager.cpp:check_thread_run:00187 | check thread - 0 run end
2018-06-06 18:47:47.585 GMT+08:00 Wed |    Debug | T0000013068 | ..\src\udx_manager.cpp:resolve_thread_run:00173 | resolve thread - 0 run end
2018-06-06 18:47:47.598 GMT+08:00 Wed |    Debug | T0000011836 | ..\src\udx_manager.cpp:UdxManager::clear:00518 | [manager] wait fast udx destroy begin
2018-06-06 18:47:47.702 GMT+08:00 Wed |    Debug | T0000011836 | ..\src\udx_manager.cpp:UdxManager::clear:00520 | [manager] wait fast udx destroy end
2018-06-06 18:47:47.702 GMT+08:00 Wed |    Debug | T0000011836 | ..\src\udx_manager.cpp:UdxManager::clear:00551 | [manager] wait threads exit begin
2018-06-06 18:47:47.702 GMT+08:00 Wed |    Debug | T0000011836 | ..\src\udx_manager.cpp:UdxManager::clear:00553 | [manager] wait threads exit end
2018-06-06 18:47:47.702 GMT+08:00 Wed |    Debug | T0000011836 | ..\src\udx_manager.cpp:UdxManager::clear:00555 | [manager] clear end
2018-06-06 18:47:47.702 GMT+08:00 Wed |    Debug | T0000011836 | ..\src\udx_manager.cpp:UdxManager::exit:00487 | [manager] exit end
2018-06-06 18:47:48.833 GMT+08:00 Wed |    Debug | T0000011336 | ..\src\udx_manager.cpp:UdxManager::init:00278 | [manager] init begin
2018-06-06 18:47:48.833 GMT+08:00 Wed |    Debug | T0000011336 | ..\src\udx_manager.cpp:UdxManager::init:00339 | [manager] remote is transmit server, set transmit server: [42.123.110.47:8885]
2018-06-06 18:47:48.855 GMT+08:00 Wed |    Debug | T0000011336 | ..\src\udx_manager.cpp:UdxManager::init:00375 | [manager] max uploader count: 2, max downloader count: 2
2018-06-06 18:47:48.856 GMT+08:00 Wed |    Debug | T0000009220 | ..\src\udx_manager.cpp:download_thread_run:00212 | download thread - 0 run begin
2018-06-06 18:47:48.856 GMT+08:00 Wed |    Debug | T0000009220 | ..\src\udx_manager.cpp:UdxManager::do_download:01660 | [manager] do download thread - 0 begin
2018-06-06 18:47:48.856 GMT+08:00 Wed |    Debug | T0000008848 | ..\src\udx_manager.cpp:download_thread_run:00212 | download thread - 1 run begin
2018-06-06 18:47:48.856 GMT+08:00 Wed |    Debug | T0000008848 | ..\src\udx_manager.cpp:UdxManager::do_download:01660 | [manager] do download thread - 1 begin
